set power,green power,red power
0,-1,-1
10,6,0
20,19,-1
30,29,0
40,40,-1
50,53,-1
60,62,-1
70,72,-1
80,83,-1
90,93,-1
100,102,-1
110,112,0
120,123,-1
130,132,0
140,139,0
150,152,0
160,163,-1
170,172,-1
180,182,-1
190,192,-1
200,202,-1
210,209,-1
220,0,-1
230,0,-1
