set power,green power,red power
0,0,-1
10,6,-1
20,19,-1
30,29,-1
40,40,-1
50,52,0
60,63,-1
70,73,-1
80,82,-1
90,93,0
100,101,0
110,113,-1
120,122,-1
130,132,-1
140,138,0
150,152,-1
160,162,-1
170,172,0
180,182,0
190,192,-1
200,202,-1
210,-1,-1
220,0,0
230,0,-1
